INPUT:diff1	INPUT:diff2	INPUT:query1	INPUT:query2	OUTPUT:result	CONFIDENCE:result
риф	гриф	бампер риф land cruiser 100	бампер гриф land cruiser 100	no	97.34%
более	болен	более 3-х лет	болен 3-х лет	no	99.99%
телфон	телефон	бесплатное телфон	бесплатное телефон	yes	99.84%
les	led	gibson les paul lpj	gibson led paul lpj	no	99.72%
алюминивые	алюминиевый	батареи бу алюминивые	батареи бу алюминиевый	yes	99.95%
westfalica	westfalika	westfalica	westfalika	yes	99.87%
ema	ems	casio edifice ema	casio edifice ems	no	99.60%
мориса	маркса	1 комнатная квартира сниму мориса тореза	1 комнатная квартира сниму маркса тореза	no	99.96%
aura	air	asus 970 pro gaming aura	asus 970 pro gaming air	no	74.16%
босаножки	босоножки	босаножки на шпильке 39	босоножки на шпильке 39	yes	99.97%
boox	box	boox	box	no	75.32%
боровая	бортовая	боровая 59	бортовая 59	no	94.48%
pram	sram	deluxe pram	deluxe sram	no	90.15%
база	без	база грузовая	без грузовая	no	99.84%
dremel	diesel	dremel 2000	diesel 2000	no	98.46%
sumsung	samsung	sumsung galaxy 4	samsung galaxy 4	yes	92.32%
ark	mark	ark benefit a2	mark benefit a2	no	98.78%
noten	note	van noten 46	van note 46	no	74.87%
акккмулятор	аккумулятор	акккмулятор	аккумулятор	yes	99.94%
gfpk	пазл	gfpk	пазл	yes	99.99%
axsis	axis	grand axsis	grand axis	yes	96.80%
ветровое	ветровка	yamaha ветровое стекло	yamaha ветровка стекло	no	99.94%
sanya	sanyo	sanya	sanyo	no	98.61%
акумулятор	аккумулятор	акумулятор 220 вольт	аккумулятор 220 вольт	yes	99.99%
bike	nike	ns bike	ns nike	no	96.68%
cause	case	just cause xbox	just case xbox	no	99.99%
доп	дом	ауди 80 доп приборы	ауди 80 дом приборы	no	99.96%
bose	bosch	bose 35 ii	bosch 35 ii	yes	98.02%
forvard	forward	forvard safari 31х10 5	forward safari 31х10 5	yes	74.22%
muso	musso	naim muso	naim musso	yes	99.98%
markii	mark	7d markii	7d mark	yes	96.23%
alkatel	alcatel	alkatel 7048x	alcatel 7048x	yes	99.99%
супорт	суппорт	ford focus 2 задний супорт	ford focus 2 задний суппорт	yes	98.26%
алюминовые	алюминевые	алюминовые двери	алюминевые двери	yes	99.99%
шевралет	шевролет	шрус шевралет крузе	шрус шевролет крузе	yes	99.99%
эхо	эко	бампер тойота эхо	бампер тойота эко	no	94.57%
афон	фон	афон	фон	no	73.20%
candy	camry	candy couture	camry couture	yes	62.96%
makbook	macbook	makbook pro 15	macbook pro 15	yes	89.68%
molekula	molecule	molekula	molecule	yes	97.60%
ditto	dutti	ditto педаль	dutti педаль	no	73.47%
audio	audi	jl audio w 7	jl audi w 7	yes	94.02%
mach	mah	gt mach one fw 16	gt mah one fw 16	yes	82.54%
bose	bosch	bose mazda 3 bk	bosch mazda 3 bk	no	59.87%
lous	louis	lous vuitton кошелек	louis vuitton кошелек	yes	86.35%
лом	дом	бой лом асфальта	бой дом асфальта	no	99.88%
боссоножки	босоножки	timberland боссоножки	timberland босоножки	yes	99.99%
аккумуляторный	аккумуляторы	аккумуляторный набор инструмента	аккумуляторы набор инструмента	no	84.15%
akai	kia	akai 49 mpk	kia 49 mpk	no	99.62%
wolksvagen	volkswagen	wolksvagen caddy	volkswagen caddy	yes	99.99%
ltd	led	ltd ec 200qm	led ec 200qm	no	96.47%
болончик	балончик	болончик с краской	балончик с краской	yes	98.61%
питани	питания	блок питани 12в	блок питания 12в	yes	95.17%
заз	газ	бампер заз 968	бампер газ 968	no	99.75%
куга	киа	3d коврики форд куга 2	3d коврики форд киа 2	no	99.98%
бочок	бачок	бочок для воды	бачок для воды	yes	96.31%
бра	пара	бра 2шт	пара 2шт	no	99.93%
таета	сайта	бампер на таета спасио	бампер на сайта спасио	no	99.75%
zonda	honda	goform zonda gh18	goform honda gh18	yes	80.19%
приборка	прибор	honda приборка приборная панель	honda прибор приборная панель	no	56.95%
yamah	yamaha	yamah	yamaha	yes	99.99%
платина	плата	galaxy s6 платина	galaxy s6 плата	no	95.03%
sumsung	samsung	sumsung es90	samsung es90	yes	99.83%
tape	type	tape tech	type tech	yes	79.59%
пылисос	пылесосы	б у пылисос	б у пылесосы	yes	95.59%
onda	honda	onda b250	honda b250	no	85.91%
калину	машину	акустическая полка на калину	акустическая полка на машину	yes	83.61%
susuki	suzuki	susuki zz sepia	suzuki zz sepia	yes	99.07%
cic	ice	cic bmw	ice bmw	yes	98.06%
ljpbvtnh	дозиметр	ljpbvtnh	дозиметр	yes	97.11%
camel	chanel	camel обувь	chanel обувь	no	99.98%
тенге	денег	500 тенге	500 денег	no	99.99%
гдн	гдр	75 гдн 1 4	75 гдр 1 4	no	99.91%
логана	логан	бампер передний рено логана бу	бампер передний рено логан бу	yes	99.96%
nicon	nikon	nicon fm	nikon fm	yes	99.91%
nan	nano	nan optipro 2	nano optipro 2	no	99.99%
амартизатор	амортизатора	амартизатор на пежо боксер	амортизатора на пежо боксер	no	94.22%
банная	баня	банная печь с баком	баня печь с баком	no	99.43%
hundai	hyundai	hundai i30	hyundai i30	yes	99.94%
kevin	levis	kevin john нож	levis john нож	no	97.90%
буст	бутс	адидас изи буст 350	адидас изи бутс 350	yes	99.23%
алюминевый	алюминиевые	балкон алюминевый	балкон алюминиевые	no	65.29%
niassan	nissan	niassan 200xs	nissan 200xs	yes	99.92%
низком	низкий	босоножки 39 на низком каблуке	босоножки 39 на низкий каблуке	no	99.71%
uniquiti	ubiquiti	uniquiti	ubiquiti	yes	76.06%
beffre	befree	beffre	befree	yes	94.34%
нас	бас	бампер нас тойота камри	бампер бас тойота камри	no	97.49%
бартер	мастер	бартер квартиры на каркас	мастер квартиры на каркас	no	91.30%
коп	кпп	3 коп 1845	3 кпп 1845	no	99.99%
спарка	спинка	245 40 19 275 35 19 спарка	245 40 19 275 35 19 спинка	no	99.63%
phillips	philips	phillips x623	philips x623	yes	86.86%
бмх	бмв	бмх торг	бмв торг	no	64.18%
nan	man	nan optipro ha 3	man optipro ha 3	yes	82.80%
fuga	kuga	fuga y50	kuga y50	no	94.77%
kawaii	kawai	kawaii	kawai	yes	65.69%
отель	модель	абхазия гагра отель	абхазия гагра модель	no	99.81%
робот	работы	ford focus 3 powershift робот	ford focus 3 powershift работы	no	99.84%
shkoda	skoda	shkoda fabia razbor	skoda fabia razbor	yes	98.83%
skandik	skandic	brp skandik swt 600 ace	brp skandic swt 600 ace	yes	98.02%
lsd	lcd	toyota lsd	toyota lcd	no	96.91%
kiss	kia	the kiss	the kia	no	99.75%
бартер	бампер	бартер на редми	бампер на редми	no	72.59%
amer	amber	amer	amber	no	99.99%
kit	kia	sony alpha nex-5 kit n	sony alpha nex-5 kia n	no	99.89%
porshe	porsche	porshe brembo	porsche brembo	yes	88.92%
tcx	tech	acura tcx	acura tech	no	99.81%
dfp	ваз	dfp 2110	ваз 2110	yes	99.99%
dahon	canon	dahon suv d6	canon suv d6	no	83.02%
pointer	pioneer	blue laser pointer	blue laser pioneer	no	62.25%
aser	acer	aser aspire 5749	acer aspire 5749	yes	95.29%
часных	частных	аренда авто от часных лиц	аренда авто от частных лиц	yes	99.99%
sophia	sofia	sophia	sofia	yes	86.00%
компресор	компрессор	bmw e63 компресор	bmw e63 компрессор	yes	99.90%
аварийка	аварийная	аварийка a6 c5	аварийная a6 c5	no	99.98%
hyndai	hyundai	hyndai solaris головка	hyundai solaris головка	yes	99.90%
упровления	управление	блок упровления лебедкой	блок управление лебедкой	yes	92.89%
fyukbqcrbq	английский	fyukbqcrbq	английский	yes	99.99%
бомбер	бампер	бомбер stradivarius женский	бампер stradivarius женский	no	99.96%
алюминевые	алюминиевый	алюминевые фасад	алюминиевый фасад	yes	99.99%
после	шоссе	автолюлька после одного ребенка	автолюлька шоссе одного ребенка	no	99.43%
technik	technics	m technik f 10	m technics f 10	yes	99.99%
автомобил	автомобилей	автомобил киа рио 2017	автомобилей киа рио 2017	yes	83.36%
msa	msi	dell msa 14	dell msi 14	no	98.67%
база	без	база 2wayfix	без 2wayfix	no	99.99%
база	без	база отдыха озеро	без отдыха озеро	no	99.99%
кистевой	кистей	xiaomi кистевой	xiaomi кистей	no	99.97%
bmx	bmw	bmx тренировки	bmw тренировки	no	98.78%
монетка	монеты	аппарат монетка	аппарат монеты	no	76.16%
ted	red	ted baker чехол	red baker чехол	no	97.71%
mad	mac	mad catz 9	mac catz 9	no	96.78%
jcb	usb	аренда трактор jcb	аренда трактор usb	no	99.64%
сидушки	подушки	авто сидушки	авто подушки	no	98.93%
code	core	armani sport code	armani sport core	no	98.59%
ifan	ifans	беспроводные наушники ifan	беспроводные наушники ifans	yes	70.68%
mack	mac	mack e7	mac e7	no	58.49%
pavillion	pavilion	pavillion g6	pavilion g6	yes	87.72%
aphon	iphon	aphon x	iphon x	no	99.75%
roud	round	off roud	off round	yes	79.41%
фару	фарой	lexus lx стекло на фару	lexus lx стекло на фарой	yes	54.11%
gust	gusti	gust 150	gusti 150	no	99.90%
amp	amd	1060 amp	1060 amd	no	97.72%
choise	choose	choise	choose	no	65.69%
touche	touch	ysl touche eclat	ysl touch eclat	no	96.69%
sander	sandero	jil sander обувь	jil sandero обувь	no	99.99%
hogan	logan	hogan кроссовки	logan кроссовки	yes	63.44%
sanyo	sony	cd плеер sanyo	cd плеер sony	yes	67.92%
босонжки	босоножки	босонжки на платформе	босоножки на платформе	yes	99.25%
g-класс	класс	g-класс торпедо	класс торпедо	no	98.51%
clash	crash	naruto clash of ninja	naruto crash of ninja	no	81.12%
zippi	zippy	tutis zippi 2 в 1	tutis zippy 2 в 1	no	60.03%
